systemName,systemShortName
3DO Interactive Multiplayer,3DO
Arcade,MAME
Atari 2600,2600
Atari 5200,5200
Atari 7800,7800
Atari Lynx,Lynx
Atari Jaguar,Jaguar
Atari Jaguar CD,Jaguar CD
Bandai WonderSwan,WonderSwan
Bandai WonderSwan Color,WonderSwan Color
Coleco ColecoVision,ColecoVision
GCE Vectrex,Vectrex
Intellivision,Intellivision
NEC PC Engine/TurboGrafx-16,PCE
NEC PC Engine CD/TurboGrafx-CD,PCECD
NEC PC-FX,PCFX
NEC SuperGrafx,SuperGrafx
Nintendo Famicom Disk System,FDS
Nintendo Game Boy,GB
Nintendo Game Boy Advance,GBA
Nintendo Game Boy Color,GBC
Nintendo GameCube,NGC
Nintendo 64,N64
Nintendo DS,NDS
Nintendo Entertainment System,NES
Nintendo Super Nintendo Entertainment System,SNES
Nintendo Virtual Boy,VB
Nintendo Wii,Wii
Sega 32X,32X
Sega Game Gear,GG
Sega Master System,SMS
Sega CD/Mega-CD,SCD
Sega Genesis/Mega Drive,MD
Sega Saturn,Saturn
Sega SG-1000,SG1000
SNK Neo Geo Pocket,NGP
SNK Neo Geo Pocket Color,NGPC
Sony PlayStation,PSX
Sony PlayStation Portable,PSP
Magnavox Odyssey2,Odyssey2
Commodore 64,C64
Microsoft MSX,MSX
Microsoft MSX2,MSX2
